  idx	   wall_ms	   dt_ms	 cnt_dt_ms	   kind	content
  119	   1394.94	   11.73	         —	  empty	[EMPTY]
  120	   1407.10	   12.16	         —	  empty	[EMPTY]
  121	   1420.49	   13.39	     37.29	content	'\n'
  122	   1430.42	    9.93	         —	  empty	[EMPTY]
  123	   1442.30	   11.88	         —	  empty	[EMPTY]
  124	   1454.09	   11.79	     33.60	content	'\n'
  125	   1465.95	   11.86	         —	  empty	[EMPTY]
  126	   1477.85	   11.89	         —	  empty	[EMPTY]
  127	   1489.84	   11.99	     35.74	content	'\n'
  128	   1501.46	   11.63	         —	  empty	[EMPTY]
  129	   1513.31	   11.84	         —	  empty	[EMPTY]
  130	   1525.17	   11.86	     35.33	content	'\n'
  131	   1536.88	   11.71	         —	  empty	[EMPTY]
  132	   1548.79	   11.91	         —	  empty	[EMPTY]
  133	   1560.70	   11.91	     35.53	content	'\n'
  134	   1572.47	   11.77	         —	  empty	[EMPTY]
  135	   1584.37	   11.90	         —	  empty	[EMPTY]
  136	   1595.99	   11.62	     35.29	content	'\n'
  137	   1607.78	   11.79	         —	  empty	[EMPTY]
  138	   1620.82	   13.04	         —	  empty	[EMPTY]
  139	   1631.45	   10.62	     35.46	content	'\n'
  140	   1643.30	   11.85	         —	  empty	[EMPTY]
  141	   1655.15	   11.85	         —	  empty	[EMPTY]
  142	   1667.20	   12.05	     35.75	content	'\n'
  143	   1678.93	   11.73	         —	  empty	[EMPTY]
  144	   1690.67	   11.73	         —	  empty	[EMPTY]
  145	   1702.52	   11.85	     35.32	content	'\n'
  146	   1714.36	   11.84	         —	  empty	[EMPTY]
  147	   1726.38	   12.02	         —	  empty	[EMPTY]
  148	   1738.03	   11.65	     35.51	content	'\n'
  149	   1749.95	   11.92	         —	  empty	[EMPTY]
  150	   1762.40	   12.45	         —	  empty	[EMPTY]
  151	   1773.88	   11.48	     35.85	content	'\n'
  152	   1785.48	   11.60	         —	  empty	[EMPTY]
  153	   1797.26	   11.79	         —	  empty	[EMPTY]
  154	   1809.10	   11.83	     35.22	content	'\n'
  155	   1821.15	   12.05	         —	  empty	[EMPTY]
  156	   1832.81	   11.66	         —	  empty	[EMPTY]
  157	   1844.70	   11.89	     35.60	content	'\n'
  158	   1856.72	   12.02	         —	  empty	[EMPTY]
  159	   1871.23	   14.51	         —	  empty	[EMPTY]
  160	   1880.31	    9.08	     35.62	content	'\n'
  161	   1892.56	   12.25	         —	  empty	[EMPTY]
  162	   1911.54	   18.97	         —	  empty	[EMPTY]
  163	   1916.48	    4.95	     36.17	content	'\n'
  164	   1927.91	   11.43	         —	  empty	[EMPTY]
  165	   1939.60	   11.69	         —	  empty	[EMPTY]
  166	   1951.42	   11.83	     34.94	content	'\n'
  167	   1963.33	   11.91	         —	  empty	[EMPTY]
  168	   1975.20	   11.87	         —	  empty	[EMPTY]
  169	   1986.85	   11.65	     35.43	content	'\n'
  170	   1998.71	   11.85	         —	  empty	[EMPTY]
  171	   2010.65	   11.95	         —	  empty	[EMPTY]
  172	   2022.92	   12.27	     36.07	content	'\n'
  173	   2034.23	   11.30	         —	  empty	[EMPTY]
  174	   2046.08	   11.85	         —	  empty	[EMPTY]
  175	   2058.00	   11.92	     35.08	content	'\n'
  176	   2071.26	   13.26	         —	  empty	[EMPTY]
  177	   2081.64	   10.38	         —	  empty	[EMPTY]
  178	   2093.46	   11.82	     35.46	content	'\n'
  179	   2106.25	   12.79	         —	  empty	[EMPTY]
  180	   2117.34	   11.09	         —	  empty	[EMPTY]
  181	   2129.23	   11.90	     35.77	content	'\n'
  182	   2140.89	   11.66	         —	  empty	[EMPTY]
  183	   2152.81	   11.92	         —	  empty	[EMPTY]
  184	   2165.00	   12.18	     35.76	content	'\n'
  185	   2176.55	   11.55	         —	  empty	[EMPTY]
  186	   2188.31	   11.77	         —	  empty	[EMPTY]
  187	   2200.29	   11.98	     35.29	content	'\n'
  188	   2212.06	   11.77	         —	  empty	[EMPTY]
  189	   2223.94	   11.89	         —	  empty	[EMPTY]
  190	   2235.76	   11.82	     35.47	content	'\n'
  191	   2247.58	   11.82	         —	  empty	[EMPTY]
  192	   2259.55	   11.96	         —	  empty	[EMPTY]
  193	   2271.36	   11.82	     35.60	content	'\n'
  194	   2283.05	   11.69	         —	  empty	[EMPTY]
  195	   2294.97	   11.92	         —	  empty	[EMPTY]
  196	   2307.07	   12.10	     35.71	content	'\n'
  197	   2321.54	   14.47	         —	  empty	[EMPTY]
  198	   2330.48	    8.93	         —	  empty	[EMPTY]
  199	   2342.27	   11.79	     35.20	content	'\n'
  200	   2354.29	   12.02	         —	  empty	[EMPTY]
  201	   2366.07	   11.78	         —	  empty	[EMPTY]
  202	   2378.15	   12.08	     35.88	content	'\n'
  203	   2389.65	   11.51	         —	  empty	[EMPTY]
  204	   2401.50	   11.84	         —	  empty	[EMPTY]
  205	   2413.32	   11.82	     35.17	content	'\n'
  206	   2425.39	   12.07	         —	  empty	[EMPTY]
  207	   2437.17	   11.78	         —	  empty	[EMPTY]
  208	   2448.91	   11.73	     35.59	content	'\n'
  209	   2460.95	   12.05	         —	  empty	[EMPTY]
  210	   2472.67	   11.71	         —	  empty	[EMPTY]
  211	   2484.44	   11.78	     35.54	content	'\n'
  212	   2496.34	   11.90	         —	  empty	[EMPTY]
  213	   2508.24	   11.90	         —	  empty	[EMPTY]
  214	   2520.51	   12.27	     36.06	content	'\n'
  215	   2531.91	   11.41	         —	  empty	[EMPTY]
  216	   2543.72	   11.81	         —	  empty	[EMPTY]
  217	   2555.87	   12.15	     35.36	content	'\n'
  218	   2567.62	   11.75	         —	  empty	[EMPTY]
  219	   2579.38	   11.76	         —	  empty	[EMPTY]
  220	   2591.14	   11.76	     35.27	content	'\n'
  221	   2603.04	   11.91	         —	  empty	[EMPTY]
  222	   2614.86	   11.82	         —	  empty	[EMPTY]
  223	   2626.85	   11.99	     35.71	content	'\n'
  224	   2638.55	   11.70	         —	  empty	[EMPTY]
  225	   2650.39	   11.84	         —	  empty	[EMPTY]
  226	   2663.09	   12.70	     36.24	content	'\n'
  227	   2674.15	   11.06	         —	  empty	[EMPTY]
  228	   2685.85	   11.70	         —	  empty	[EMPTY]
  229	   2697.65	   11.80	     34.55	content	'\n'
  230	   2709.54	   11.89	         —	  empty	[EMPTY]
  231	   2721.60	   12.05	         —	  empty	[EMPTY]
  232	   2733.26	   11.66	     35.61	content	'\n'
  233	   2745.24	   11.98	         —	  empty	[EMPTY]
  234	   2757.08	   11.84	         —	  empty	[EMPTY]
  235	   2770.38	   13.30	     37.12	content	'\n'
  236	   2780.82	   10.44	         —	  empty	[EMPTY]
  237	   2792.54	   11.72	         —	  empty	[EMPTY]
  238	   2804.36	   11.82	     33.98	content	'\n'
  239	   2816.18	   11.82	         —	  empty	[EMPTY]
  240	   2828.24	   12.05	         —	  empty	[EMPTY]
  241	   2839.97	   11.73	     35.61	content	'\n'
  242	   2851.84	   11.87	         —	  empty	[EMPTY]
  243	   2864.01	   12.17	         —	  empty	[EMPTY]
  244	   2875.57	   11.56	     35.61	content	'\n'
  245	   2887.44	   11.87	         —	  empty	[EMPTY]
  246	   2899.19	   11.75	         —	  empty	[EMPTY]
  247	   2911.03	   11.84	     35.45	content	'\n'
  248	   2922.94	   11.91	         —	  empty	[EMPTY]
  249	   2934.67	   11.73	         —	  empty	[EMPTY]
  250	   2946.57	   11.90	     35.54	content	'\n'
  251	   2958.39	   11.82	         —	  empty	[EMPTY]
  252	   2970.47	   12.08	         —	  empty	[EMPTY]
  253	   2982.37	   11.90	     35.80	content	'\n'
  254	   2993.98	   11.60	         —	  empty	[EMPTY]
  255	   3005.91	   11.93	         —	  empty	[EMPTY]
  256	   3020.14	   14.24	     37.77	content	'\n'
  257	   3029.62	    9.48	         —	  empty	[EMPTY]
  258	   3041.40	   11.78	         —	  empty	[EMPTY]
  259	   3053.35	   11.95	     33.20	content	'\n'
  260	   3065.31	   11.96	         —	  empty	[EMPTY]
  261	   3077.05	   11.74	         —	  empty	[EMPTY]
  262	   3088.85	   11.80	     35.50	content	'\n'
  263	   3100.69	   11.84	         —	  empty	[EMPTY]
  264	   3112.54	   11.85	         —	  empty	[EMPTY]
  265	   3124.50	   11.95	     35.65	content	'\n'
  266	   3136.34	   11.84	         —	  empty	[EMPTY]
  267	   3148.24	   11.90	         —	  empty	[EMPTY]
  268	   3160.19	   11.95	     35.69	content	'\n'
  269	   3171.98	   11.79	         —	  empty	[EMPTY]
  270	   3183.70	   11.73	         —	  empty	[EMPTY]
  271	   3195.57	   11.87	     35.38	content	'\n'
  272	   3207.41	   11.83	         —	  empty	[EMPTY]
  273	   3220.52	   13.11	         —	  empty	[EMPTY]
  274	   3231.18	   10.66	     35.61	content	'\n'
  275	   3243.01	   11.83	         —	  empty	[EMPTY]
  276	   3255.12	   12.11	         —	  empty	[EMPTY]
  277	   3266.67	   11.56	     35.49	content	'\n'
  278	   3278.61	   11.93	         —	  empty	[EMPTY]
  279	   3290.33	   11.72	         —	  empty	[EMPTY]
  280	   3302.23	   11.90	     35.55	content	'\n'
  281	   3314.16	   11.93	         —	  empty	[EMPTY]
  282	   3326.07	   11.91	         —	  empty	[EMPTY]
  283	   3337.85	   11.79	     35.63	content	'\n'
  284	   3349.73	   11.88	         —	  empty	[EMPTY]
  285	   3361.75	   12.02	         —	  empty	[EMPTY]
  286	   3373.43	   11.68	     35.58	content	'\n'
  287	   3385.22	   11.79	         —	  empty	[EMPTY]
  288	   3397.24	   12.03	         —	  empty	[EMPTY]
  289	   3408.88	   11.63	     35.45	content	'\n'
  290	   3420.94	   12.06	         —	  empty	[EMPTY]
  291	   3433.05	   12.11	         —	  empty	[EMPTY]
  292	   3444.51	   11.46	     35.63	content	'\n'
  293	   3456.41	   11.90	         —	  empty	[EMPTY]
  294	   3470.38	   13.97	         —	  empty	[EMPTY]
  295	   3480.20	    9.82	     35.70	content	'\n'
  296	   3491.90	   11.69	         —	  empty	[EMPTY]
  297	   3503.77	   11.88	         —	  empty	[EMPTY]
  298	   3515.55	   11.77	     35.35	content	'\n'
  299	   3527.49	   11.95	         —	  empty	[EMPTY]
  300	   3539.27	   11.77	         —	  empty	[EMPTY]
  301	   3551.16	   11.89	     35.61	content	'\n'
  302	   3563.15	   11.99	         —	  empty	[EMPTY]
  303	   3574.90	   11.74	         —	  empty	[EMPTY]
  304	   3586.83	   11.93	     35.67	content	'\n'
  305	   3598.52	   11.69	         —	  empty	[EMPTY]
  306	   3610.36	   11.84	         —	  empty	[EMPTY]
  307	   3622.34	   11.98	     35.52	content	'\n'
  308	   3634.12	   11.78	         —	  empty	[EMPTY]
  309	   3645.93	   11.81	         —	  empty	[EMPTY]
  310	   3659.54	   13.61	     37.20	content	'\n'
  311	   3670.76	   11.22	         —	  empty	[EMPTY]
  312	   3681.53	   10.77	         —	  empty	[EMPTY]
  313	   3693.37	   11.84	     33.83	content	'\n'
  314	   3705.25	   11.88	         —	  empty	[EMPTY]
  315	   3717.23	   11.98	         —	  empty	[EMPTY]
  316	   3729.06	   11.83	     35.69	content	'\n'
  317	   3740.80	   11.74	         —	  empty	[EMPTY]
  318	   3752.77	   11.98	         —	  empty	[EMPTY]
  319	   3764.66	   11.89	     35.60	content	'\n'
  320	   3776.46	   11.80	         —	  empty	[EMPTY]
  321	   3788.23	   11.77	         —	  empty	[EMPTY]
  322	   3800.10	   11.87	     35.43	content	'\n'
  323	   3811.96	   11.86	         —	  empty	[EMPTY]
  324	   3823.94	   11.98	         —	  empty	[EMPTY]
  325	   3835.65	   11.71	     35.55	content	'\n'
  326	   3847.53	   11.88	         —	  empty	[EMPTY]
  327	   3859.42	   11.89	         —	  empty	[EMPTY]
  328	   3871.54	   12.12	     35.89	content	'\n'
  329	   3883.12	   11.58	         —	  empty	[EMPTY]
  330	   3894.94	   11.82	         —	  empty	[EMPTY]
  331	   3906.82	   11.88	     35.27	content	'\n'
  332	   3920.19	   13.37	         —	  empty	[EMPTY]
  333	   3930.55	   10.36	         —	  empty	[EMPTY]
  334	   3942.34	   11.79	     35.52	content	'\n'
  335	   3954.21	   11.87	         —	  empty	[EMPTY]
  336	   3966.12	   11.91	         —	  empty	[EMPTY]
  337	   3978.03	   11.91	     35.69	content	'\n'
  338	   3989.82	   11.79	         —	  empty	[EMPTY]
  339	   4001.60	   11.79	         —	  empty	[EMPTY]
  340	   4013.62	   12.01	     35.59	content	'\n'
  341	   4025.50	   11.88	         —	  empty	[EMPTY]
  342	   4037.21	   11.71	         —	  empty	[EMPTY]
  343	   4049.02	   11.81	     35.40	content	'\n'
  344	   4062.30	   13.28	         —	  empty	[EMPTY]
  345	   4072.88	   10.58	         —	  empty	[EMPTY]
  346	   4084.58	   11.70	     35.56	content	'\n'
  347	   4096.51	   11.93	         —	  empty	[EMPTY]
  348	   4108.24	   11.74	         —	  empty	[EMPTY]
  349	   4120.33	   12.09	     35.75	content	'\n'
  350	   4132.04	   11.71	         —	  empty	[EMPTY]
  351	   4143.87	   11.83	         —	  empty	[EMPTY]
  352	   4155.73	   11.86	     35.40	content	'\n'
  353	   4170.20	   14.47	         —	  empty	[EMPTY]
  354	   4179.37	    9.18	         —	  empty	[EMPTY]
  355	   4191.24	   11.87	     35.52	content	'\n'
  356	   4203.04	   11.80	         —	  empty	[EMPTY]
  357	   4214.95	   11.91	         —	  empty	[EMPTY]
  358	   4226.86	   11.90	     35.62	content	'\n'
  359	   4238.61	   11.75	         —	  empty	[EMPTY]
  360	   4250.45	   11.84	         —	  empty	[EMPTY]
  361	   4262.41	   11.96	     35.55	content	'\n'
  362	   4274.41	   12.00	         —	  empty	[EMPTY]
  363	   4286.02	   11.61	         —	  empty	[EMPTY]
  364	   4297.84	   11.82	     35.44	content	'\n'
  365	   4309.90	   12.05	         —	  empty	[EMPTY]
  366	   4321.69	   11.79	         —	  empty	[EMPTY]
  367	   4333.47	   11.78	     35.63	content	'\n'
  368	   4345.30	   11.83	         —	  empty	[EMPTY]
  369	   4358.98	   13.68	         —	  empty	[EMPTY]
  370	   4370.30	   11.33	     36.83	content	'\n'
  371	   4380.87	   10.57	         —	  empty	[EMPTY]
  372	   4392.71	   11.84	         —	  empty	[EMPTY]
  373	   4404.63	   11.92	     34.33	content	'\n'
  374	   4416.46	   11.82	         —	  empty	[EMPTY]
  375	   4428.36	   11.90	         —	  empty	[EMPTY]
  376	   4440.21	   11.85	     35.57	content	'\n'
  377	   4452.02	   11.81	         —	  empty	[EMPTY]
  378	   4463.88	   11.86	         —	  empty	[EMPTY]
  379	   4475.82	   11.94	     35.61	content	'\n'
  380	   4487.59	   11.77	         —	  empty	[EMPTY]
  381	   4499.46	   11.87	         —	  empty	[EMPTY]
  382	   4511.39	   11.93	     35.58	content	'\n'
  383	   4523.30	   11.91	         —	  empty	[EMPTY]
  384	   4535.44	   12.13	         —	  empty	[EMPTY]
  385	   4547.15	   11.72	     35.76	content	'\n'
  386	   4559.00	   11.85	         —	  empty	[EMPTY]
  387	   4572.94	   13.94	         —	  empty	[EMPTY]
  388	   4582.77	    9.82	     35.61	content	'\n'
  389	   4594.50	   11.73	         —	  empty	[EMPTY]
  390	   4606.23	   11.73	         —	  empty	[EMPTY]
  391	   4618.12	   11.89	     35.36	content	'\n'
  392	   4629.96	   11.84	         —	  empty	[EMPTY]
  393	   4641.74	   11.78	         —	  empty	[EMPTY]
  394	   4653.72	   11.98	     35.59	content	'\n'
  395	   4665.58	   11.87	         —	  empty	[EMPTY]
  396	   4677.38	   11.80	         —	  empty	[EMPTY]
  397	   4689.15	   11.77	     35.43	content	'\n'
  398	   4701.00	   11.85	         —	  empty	[EMPTY]
  399	   4712.91	   11.91	         —	  empty	[EMPTY]
  400	   4724.87	   11.96	     35.72	content	'\n'
  401	   4736.58	   11.71	         —	  empty	[EMPTY]
  402	   4748.38	   11.80	         —	  empty	[EMPTY]
  403	   4760.67	   12.29	     35.80	content	'\n'
  404	   4772.24	   11.56	         —	  empty	[EMPTY]
  405	   4783.96	   11.72	         —	  empty	[EMPTY]
  406	   4795.79	   11.83	     35.12	content	'\n'
  407	   4807.60	   11.81	         —	  empty	[EMPTY]
  408	   4820.31	   12.71	         —	  empty	[EMPTY]
  409	   4831.35	   11.04	     35.56	content	'\n'
  410	   4843.23	   11.87	         —	  empty	[EMPTY]
  411	   4855.10	   11.87	         —	  empty	[EMPTY]
  412	   4866.95	   11.86	     35.60	content	'\n'
  413	   4878.90	   11.94	         —	  empty	[EMPTY]
  414	   4890.67	   11.78	         —	  empty	[EMPTY]
  415	   4902.46	   11.79	     35.51	content	'\n'
  416	   4914.43	   11.96	         —	  empty	[EMPTY]
  417	   4926.32	   11.89	         —	  empty	[EMPTY]
  418	   4938.08	   11.77	     35.62	content	'\n'
  419	   4950.06	   11.98	         —	  empty	[EMPTY]
  420	   4961.90	   11.83	         —	  empty	[EMPTY]
  421	   4973.74	   11.84	     35.66	content	'\n'
  422	   4985.54	   11.80	         —	  empty	[EMPTY]
  423	   4997.34	   11.81	         —	  empty	[EMPTY]
  424	   5009.17	   11.82	     35.43	content	'\n'
  425	   5021.15	   11.98	         —	  empty	[EMPTY]
  426	   5032.91	   11.76	         —	  empty	[EMPTY]
  427	   5044.91	   12.00	     35.74	content	'\n'
  428	   5057.77	   12.86	         —	  empty	[EMPTY]
  429	   5070.86	   13.09	         —	  empty	[EMPTY]
  430	   5080.35	    9.49	     35.44	content	'\n'
  431	   5092.25	   11.90	         —	  empty	[EMPTY]
  432	   5104.14	   11.89	         —	  empty	[EMPTY]
  433	   5115.95	   11.81	     35.60	content	'\n'
  434	   5127.92	   11.97	         —	  empty	[EMPTY]
  435	   5139.69	   11.77	         —	  empty	[EMPTY]
  436	   5151.54	   11.85	     35.59	content	'\n'
  437	   5163.78	   12.24	         —	  empty	[EMPTY]
  438	   5175.38	   11.59	         —	  empty	[EMPTY]
  439	   5187.08	   11.70	     35.54	content	'\n'
  440	   5198.92	   11.84	         —	  empty	[EMPTY]
  441	   5210.77	   11.86	         —	  empty	[EMPTY]
  442	   5222.78	   12.01	     35.70	content	'\n'
  443	   5234.60	   11.82	         —	  empty	[EMPTY]
  444	   5246.37	   11.77	         —	  empty	[EMPTY]
  445	   5260.98	   14.61	     38.19	content	'\n'
  446	   5270.74	    9.76	         —	  empty	[EMPTY]
  447	   5281.94	   11.21	         —	  empty	[EMPTY]
  448	   5293.82	   11.88	     32.85	content	'\n'
  449	   5305.77	   11.95	         —	  empty	[EMPTY]
  450	   5320.13	   14.36	         —	  empty	[EMPTY]
  451	   5329.36	    9.23	     35.54	content	'\n'
  452	   5341.35	   11.99	         —	  empty	[EMPTY]
  453	   5353.06	   11.71	         —	  empty	[EMPTY]
  454	   5364.88	   11.82	     35.52	content	'\n'
  455	   5376.78	   11.90	         —	  empty	[EMPTY]
  456	   5388.56	   11.78	         —	  empty	[EMPTY]
  457	   5400.44	   11.88	     35.56	content	'\n'
  458	   5412.29	   11.85	         —	  empty	[EMPTY]
  459	   5424.25	   11.96	         —	  empty	[EMPTY]
  460	   5435.97	   11.72	     35.53	content	'\n'
  461	   5447.84	   11.87	         —	  empty	[EMPTY]
  462	   5459.82	   11.98	         —	  empty	[EMPTY]
  463	   5471.64	   11.82	     35.67	content	'\n'
  464	   5483.40	   11.76	         —	  empty	[EMPTY]
  465	   5495.21	   11.81	         —	  empty	[EMPTY]
  466	   5507.04	   11.83	     35.40	content	'\n'
  467	   5520.79	   13.75	         —	  empty	[EMPTY]
  468	   5530.80	   10.01	         —	  empty	[EMPTY]
  469	   5542.63	   11.84	     35.60	content	'\n'
  470	   5554.57	   11.93	         —	  empty	[EMPTY]
  471	   5566.41	   11.85	         —	  empty	[EMPTY]
  472	   5578.30	   11.88	     35.66	content	'\n'
  473	   5590.03	   11.73	         —	  empty	[EMPTY]
  474	   5601.89	   11.85	         —	  empty	[EMPTY]
  475	   5614.10	   12.21	     35.80	content	'\n'
  476	   5625.72	   11.62	         —	  empty	[EMPTY]
  477	   5637.53	   11.80	         —	  empty	[EMPTY]
  478	   5649.43	   11.90	     35.33	content	'\n'
  479	   5662.20	   12.77	         —	  empty	[EMPTY]
  480	   5673.25	   11.05	         —	  empty	[EMPTY]
  481	   5684.96	   11.71	     35.53	content	'\n'
  482	   5696.89	   11.93	         —	  empty	[EMPTY]
  483	   5708.65	   11.76	         —	  empty	[EMPTY]
  484	   5720.77	   12.12	     35.81	content	'\n'
  485	   5732.38	   11.62	         —	  empty	[EMPTY]
  486	   5744.19	   11.81	         —	  empty	[EMPTY]
  487	   5757.80	   13.60	     37.03	content	'\n'
  488	   5770.39	   12.60	         —	  empty	[EMPTY]
  489	   5779.86	    9.46	         —	  empty	[EMPTY]
  490	   5791.57	   11.72	     33.78	content	'\n'
  491	   5803.45	   11.88	         —	  empty	[EMPTY]
  492	   5815.33	   11.88	         —	  empty	[EMPTY]
  493	   5827.28	   11.95	     35.71	content	'\n'
  494	   5839.00	   11.72	         —	  empty	[EMPTY]
  495	   5850.85	   11.86	         —	  empty	[EMPTY]
  496	   5862.84	   11.99	     35.56	content	'\n'
  497	   5874.72	   11.88	         —	  empty	[EMPTY]
  498	   5886.42	   11.69	         —	  empty	[EMPTY]
  499	   5898.32	   11.90	     35.48	content	'\n'
  500	   5910.20	   11.89	         —	  empty	[EMPTY]
